,Title,Date,Link to event,Location
141,La fusione a Padova,Mon Nov 21 3:00 PM,https://www.eventbrite.it/e/biglietti-la-fusione-a-padova-444130545417?aff=ebdssbdestsearch,Aula Magna di Palazzo Bo • Padova
142,Comedy im Hörsaal Wien,Wed Nov 23 7:00 PM,https://www.eventbrite.com/e/comedy-im-horsaal-wien-tickets-430156027257?aff=ebdssbdestsearch,Universität Wien Fakultät Mathematik • Wien
143,MAD MONDAY MAINSHOW- Stand up Comedy im Mad Monkey Room (20 Uhr),Mon Nov 14 8:00 PM + 6 more events,https://www.eventbrite.de/e/mad-monday-mainshow-stand-up-comedy-im-mad-monkey-room-20-uhr-tickets-162407754967?aff=ebdssbdestsearch,Mad Monkey Room • Berlin
144,Kätz Club - XTRAVAGANZA - Kink & Glam,Today at 10:00 PM + 3 more events,https://www.eventbrite.de/e/katz-club-xtravaganza-kink-glam-tickets-387106334467?aff=ebdssbdestsearch,KÄTZ • Leipzig
145,Piano Night,Wed Nov 16 7:30 PM,https://www.eventbrite.de/e/piano-night-tickets-420580787457?aff=ebdssbdestsearch,JazzHall (an der Hochschule für Musik und Theater) • Hamburg
146,COMEDY EXTRAVAGANZA with Reginald Bärris,Fri Nov 18 7:30 PM + 29 more events,https://www.eventbrite.at/e/comedy-extravaganza-with-reginald-barris-tickets-382096489887?aff=ebdssbdestsearch,Shebeen International Pub • Wien
147,Moon Party - NBX Blockchain Festival Night 2,Wed Nov 23 10:00 PM,https://www.eventbrite.com/e/moon-party-nbx-blockchain-festival-night-2-tickets-453912553667?aff=ebdssbdestsearch,Warschauer Pl. 18 • Berlin
148,PURE VENOM ANNIVERSARY w/ KØ:LAB & NEON GRAVEYARD | 24 HR RAVE,Sat Nov 19 11:59 PM,https://www.eventbrite.de/e/pure-venom-anniversary-w-klab-neon-graveyard-24-hr-rave-tickets-460971386827?aff=ebdssbdestsearch,TWENTYFIVE CLUB & Baalsaal • Hamburg
149,TECH DAY 2022,Thu Nov 17 1:00 PM,https://www.eventbrite.at/e/tech-day-2022-tickets-223268591367?aff=ebdssbdestsearch,ThirtyFive Eventlocation • Wien
150,Cantaloop trifft baff!,Tomorrow at 5:00 PM,https://www.eventbrite.de/e/cantaloop-trifft-baff-tickets-423170924627?aff=ebdssbdestsearch,Ev.-Luth. Friedenskirche Altona • Hamburg
151,BookCity | Comunicare con gli algoritmi,Thu Nov 17 5:30 PM,https://www.eventbrite.it/e/registrazione-bookcity-comunicare-con-gli-algoritmi-446020127207?aff=ebdssbdestsearch,MEET Digital Culture Center • Milano
152,Beerlesque @Manifest,Sun Nov 27 4:00 PM,https://www.eventbrite.com/e/beerlesque-manifest-tickets-311425571267?aff=ebdssbdestsearch,Manifest Taproom • Berlin
153,LACHEN MUSS SEIN! Khalid Benaissa und Faiz - Stand-Up Comedy Show,Sun Nov 27 6:00 PM,https://www.eventbrite.de/e/lachen-muss-sein-khalid-benaissa-und-faiz-stand-up-comedy-show-tickets-442681892457?aff=ebdssbdestsearch,Rp5 Stage • Hannover
154,MILANO FASHION GALA  (F/W 23 ) February 25th 2023,Sat Feb 25 5:00 PM,https://www.eventbrite.com/e/milano-fashion-gala-fw-23-february-25th-2023-tickets-318315749977?aff=ebdssbdestsearch,Meliá Milano • Milano
155,LISTEN TO MUNICH,Today at 12:00 PM,https://www.eventbrite.de/e/listen-to-munich-tickets-409759821657?aff=ebdssbdestsearch,Feierwerk • München
156,Dom Pérignon x Lady Gaga Luminous Nights @NOMAD,Tomorrow at 6:30 PM,https://www.eventbrite.com/e/dom-perignon-x-lady-gaga-luminous-nights-nomad-tickets-439097551597?aff=ebdssbdestsearch,NOMAD Restaurant Hamburg • Hamburg
157,Fiducia Cooperazione Futuro: diventiamo grandi insieme!,Thu Nov 24 8:30 PM,https://www.eventbrite.it/e/biglietti-fiducia-cooperazione-futuro-diventiamo-grandi-insieme-459961105047?aff=ebdssbdestsearch,Teatro alle Stimate • Verona
158,Ridi a Creepypelle - Firmacopie con PERA TOONS - NAPOLI,Fri Nov 18 5:00 PM,https://www.eventbrite.it/e/biglietti-ridi-a-creepypelle-firmacopie-con-pera-toons-napoli-419522833087?aff=ebdssbdestsearch,Feltrinelli Megastore • Napoli
159,PianoBar – Live Music Show in The Hangar 55 Milano,Thu Nov 17 7:30 PM + 4 more events,https://www.eventbrite.it/e/biglietti-pianobar-live-music-show-in-the-hangar-55-milano-421734237457?aff=ebdssbdestsearch,55 Milano • Milano
160,Vinterfesten,Fri Dec 9 5:00 PM,https://www.eventbrite.co.uk/e/vinterfesten-biljetter-423191014717?aff=ebdssbdestsearch,Media Evolution • Malmö
161,Women In Leadership Week 2022,Mon Nov 21 6:00 PM,https://www.eventbrite.de/e/women-in-leadership-week-2022-tickets-451692994907?aff=ebdssbdestsearch,ESMT Berlin • Berlin
162,Becoming 1%er - Vienna Exclusive,Sun Nov 20 2:00 PM,https://www.eventbrite.com/e/becoming-1er-vienna-exclusive-tickets-439031975457?aff=ebdssbdestsearch,Krakauer Str. 19 • Wien
163,SCHNACK Stand-Up Comedy im Haus73,Thu Dec 8 8:00 PM + 6 more events,https://www.eventbrite.de/e/schnack-stand-up-comedy-im-haus73-tickets-341889218857?aff=ebdssbdestsearch,Haus 73 • Hamburg
164,BAPS Diwali Annakut Celebration & Mystic India Movie Screening Stuttgart,Sat Nov 19 4:00 PM,https://www.eventbrite.com/e/baps-diwali-annakut-celebration-mystic-india-movie-screening-stuttgart-tickets-445526370367?aff=ebdssbdestsearch,TVH Botnang • Stuttgart
165,Cangrande OPEN DAY 2022-2023,Fri Jan 13 6:30 PM + 7 more events,https://www.eventbrite.it/e/biglietti-cangrande-open-day-2022-2023-440241974597?aff=ebdssbdestsearch,Its Cangrande della Scala • Verona
166,Not A Drug Dealer - English Stand-Up Comedy Night with Malinda Perera,Sun Nov 20 7:00 PM,https://www.eventbrite.at/e/not-a-drug-dealer-english-stand-up-comedy-night-with-malinda-perera-tickets-328832335367?aff=ebdssbdestsearch,Shamrock Irish Pub • München
167,Farra profuma d'autunno | Escursione letteraria  - Paesaggio,Sun Nov 27 9:30 AM,https://www.eventbrite.it/e/biglietti-farra-profuma-dautunno-escursione-letteraria-paesaggio-391126438707?aff=ebdssbdestsearch,Area Festeggiamenti Proloco Soligo • Farra di Soligo TV
168,Punto. Diverse Prospettive 2022: Contatto,Tomorrow at 4:00 PM,https://www.eventbrite.it/e/biglietti-punto-diverse-prospettive-2022-contatto-435691764797?aff=ebdssbdestsearch,"Cinema Teatro ""Romano Pascutto"" • San Stino di Livenza"
169,Kirk Smith Christmas Gospel Nights 25. Nov. 2022,Fri Nov 25 7:00 PM,https://www.eventbrite.de/e/kirk-smith-christmas-gospel-nights-25-nov-2022-tickets-424545044657?aff=ebdssbdestsearch,Evangelische Kirchengemeinde Gustav-Adolf • Berlin
170,E-Commerce Inspiration Night (#5) Pre-Christmas-Edition by Vouchercube,Wed Nov 23 5:30 PM,https://www.eventbrite.at/e/e-commerce-inspiration-night-5-pre-christmas-edition-by-vouchercube-tickets-410302093607?aff=ebdssbdestsearch,ZIMMER Design and Work • Wien
171,BEST OF SCHNACK Stand-Up Comedy im Centralkomitee,Wed Nov 16 8:00 PM + 2 more events,https://www.eventbrite.de/e/best-of-schnack-stand-up-comedy-im-centralkomitee-tickets-411220530677?aff=ebdssbdestsearch,Centralkomitee Hamburg • Hamburg
172,DIFFERENT THINGS - Rassegna ClassicAperta,Thu Nov 17 7:00 PM,https://www.eventbrite.it/e/biglietti-different-things-rassegna-classicaperta-414568825517?aff=ebdssbdestsearch,"Fondazione Casa della Carità ""A. Abriani"" • Milano"
173,UnipolSai Briantea84 Cantù-Self Group Millennium Basket Padova,Tomorrow at 8:30 PM,https://www.eventbrite.it/e/biglietti-unipolsai-briantea84-cantu-self-group-millennium-basket-padova-458351590947?aff=ebdssbdestsearch,Palameda • Meda
174,The Epic Comedy Show: An English Comedy Event in Berlin (English-Speaking),Fri Nov 18 8:00 PM + 2 more events,https://www.eventbrite.com/e/the-epic-comedy-show-an-english-comedy-event-in-berlin-english-speaking-tickets-159686969023?aff=ebdssbdestsearch,1820 Bar • Berlin
175,ROOTS X NSG,Tomorrow at 7:00 PM,https://www.eventbrite.de/e/roots-x-nsg-tickets-421214723577?aff=ebdssbdestsearch,Große Freiheit 36 • Hamburg
176,VITERBO - Viaggio tra Stelle e Pianeti al Planetario Umbria Skywatching,Sat Nov 19 3:00 PM,https://www.eventbrite.it/e/biglietti-viterbo-viaggio-tra-stelle-e-pianeti-al-planetario-umbria-skywatching-449826241397?aff=ebdssbdestsearch,Chiesa Parrocchiale della Sacra Famiglia • Viterbo
177,Nimsaj's Stand Up Comedy - Open Mic,Tomorrow at 8:00 PM + 57 more events,https://www.eventbrite.co.uk/e/nimsajs-stand-up-comedy-open-mic-tickets-327889174347?aff=ebdssbdestsearch,Café Votiv • Wien
178,Kuriose Visionäre @ Hochlandhalle,Sat Nov 26 2:00 PM,https://www.eventbrite.com/e/kuriose-visionare-hochlandhalle-tickets-461724138327?aff=ebdssbdestsearch,Weilheim Hochlandhalle • Weilheim in Oberbayern
179,Fuckup Nights Vienna Vol. 36 | 8th Fuckupversary powered by IP Österreich,Tue Nov 29 5:30 PM,https://www.eventbrite.at/e/fuckup-nights-vienna-vol-36-8th-fuckupversary-powered-by-ip-osterreich-tickets-464195570447?aff=ebdssbdestsearch,The Social Hub Vienna • Wien
180,Headless // Team 80s • Leipzig,Tomorrow at 11:00 PM,https://www.eventbrite.de/e/headless-team-80s-leipzig-tickets-449451510567?aff=ebdssbdestsearch,Moritzbastei • Leipzig
181,Movie80's Party Vol.2 | 19 novembre| ore 22.00,Sat Nov 19 10:00 PM,https://www.eventbrite.it/e/biglietti-movie80s-party-vol2-19-novembre-ore-2200-463716316987?aff=ebdssbdestsearch,AncheCinema • Bari
182,Progettare  UdA  con il format Disegnare il Futuro,Wed Nov 23 4:30 PM + 2 more events,https://www.eventbrite.it/e/biglietti-progettare-uda-con-il-format-disegnare-il-futuro-427047429357?aff=ebdssbdestsearch,Manzoni • Verona
183,the ANTIwar Comedy show • a CHARITY Stand up Comedy show in English,Thu Nov 17 8:30 PM + 4 more events,https://www.eventbrite.co.uk/e/the-antiwar-comedy-show-a-charity-stand-up-comedy-show-in-english-tickets-313667175967?aff=ebdssbdestsearch,"Bar ""Space Meduza"" • Berlin"
184,Open Day - Explore the H-FARM International School in Vicenza,Tomorrow at 9:00 AM,https://www.eventbrite.it/e/open-day-explore-the-h-farm-international-school-in-vicenza-tickets-439504077527?aff=ebdssbdestsearch,H-FARM International School Vicenza • Vicenza
185,Christmas Miracle,Tomorrow at 7:00 PM,https://www.eventbrite.com/e/christmas-miracle-tickets-444168940257?aff=ebdssbdestsearch,Vilniaus universiteto Kultūros centras (VU Didžioji aula) M. K. Čiurlionio g. 21 Vilnius 03101 • Vilnius
186,Lifebuoy Crew X Zwischenbau - Final Dance,Tomorrow at 10:00 PM,https://www.eventbrite.de/e/lifebuoy-crew-x-zwischenbau-final-dance-tickets-447941353647?aff=ebdssbdestsearch,Zwischenbau • Rostock
187,Expedition,Fri Nov 25 9:00 PM,https://www.eventbrite.it/e/biglietti-expedition-445976877847?aff=ebdssbdestsearch,Civico Planetario Ulrico Hoepli • Milano
188,JavaSummit IL '22,Mon Nov 21 8:30 AM,https://www.eventbrite.com/e/javasummit-il-22-tickets-341201943197?aff=ebdssbdestsearch,David Intercontinental • Tel Aviv-Yafo Tel Aviv District
189,המחלקה המשפטית וארגון הציות של התעשייה האווירית מזמינים: מניעת שוחד ושחיתות,Tue Nov 22 8:30 AM,https://www.eventbrite.com/e/444512578087?aff=ebdssbdestsearch,מרכז פרס לשלום ולחדשנות • תל אביב מחוז תל אביב
190,Female Business Hub Netzwerken: Bubbly Networking inkl. Gründungsstory,Thu Nov 24 7:00 PM,https://www.eventbrite.de/e/female-business-hub-netzwerken-bubbly-networking-inkl-grundungsstory-tickets-442916905387?aff=ebdssbdestsearch,Erchy`s • Berlin
191,UX-Testing at the Startup Incubator Berlin - November 2022,Thu Nov 24 5:00 PM,https://www.eventbrite.de/e/ux-testing-at-the-startup-incubator-berlin-november-2022-tickets-439489303337?aff=ebdssbdestsearch,Startup Incubator Berlin • Berlin
192,Index #2 | Riflessioni sulla leadership e sulla felicità lavorativa,Thu Dec 15 6:30 PM,https://www.eventbrite.it/e/biglietti-index-2-riflessioni-sulla-leadership-e-sulla-felicita-lavorativa-443236792177?aff=ebdssbdestsearch,H-FARM CAMPUS • Roncade
193,Dancing With Myself | 80s Party • Weltecho Chemnitz • Sa 12.11.22,Tomorrow at 11:00 PM,https://www.eventbrite.de/e/dancing-with-myself-80s-party-weltecho-chemnitz-sa-121122-tickets-418318821857?aff=ebdssbdestsearch,Weltecho • Chemnitz
194,2000 POWER @SodaPops // Il Lunedì di Bologna // Ingresso Gratuito,Mon Nov 14 10:30 PM + 37 more events,https://www.eventbrite.it/e/biglietti-2000-power-sodapops-il-lunedi-di-bologna-ingresso-gratuito-462408896457?aff=ebdssbdestsearch,Soda Pops • Bologna
195,WelcomeHack Winter 2022,Sat Nov 26 8:00 PM,https://www.eventbrite.com/e/welcomehack-winter-2022-tickets-422550238137?aff=ebdssbdestsearch,Västra Storgatan 16 553 15 Jönköping Sweden • Jönkoping
196,L'Ulisse: dall'oralità alla scena,Sun Nov 20 7:00 PM,https://www.eventbrite.it/e/biglietti-lulisse-dalloralita-alla-scena-449690595677?aff=ebdssbdestsearch,Heracles Gymnasium • Milano
197,champI4.0ns - Innovation in der Industrie - Daten & Holzwerkstoff,Thu Nov 17 2:00 PM,https://www.eventbrite.com/e/champi40ns-innovation-in-der-industrie-daten-holzwerkstoff-tickets-439779340847?aff=ebdssbdestsearch,wolke19 im Ares Tower • Wien
198,V.O.I.C.E - Winter Fairytale I,Sat Dec 10 7:00 PM,https://www.eventbrite.at/e/voice-winter-fairytale-i-tickets-347944851417?aff=ebdssbdestsearch,Lorely-Saal • Wien
199,DJ per lo sport,Fri Nov 18 7:00 PM,https://www.eventbrite.com/e/biglietti-dj-per-lo-sport-431646796187?aff=ebdssbdestsearch,I.I.S. Badoni • Lecco
200,15x4 Talks - Math AnomalitiesGreen H2 TechMicrobes & Resistance to Change,Thu Nov 17 7:00 PM,https://www.eventbrite.com/e/15x4-talks-math-anomalitiesgreen-h2-techmicrobes-resistance-to-change-registration-446537354247?aff=ebdssbdestsearch,Stylight • München
201,Get ConneCCted  - Meet Forever and Friends - Meerane,Tomorrow at 3:00 PM,https://www.eventbrite.de/e/get-conneccted-meet-forever-and-friends-meerane-tickets-440898408007?aff=ebdssbdestsearch,Romantik Hotel Schwanefeld & SPA • Meerane
202,Plant Swap Nürnberg  #3,Tue Nov 15 6:00 PM,https://www.eventbrite.com/e/plant-swap-nurnberg-3-tickets-419645851037?aff=ebdssbdestsearch,Kulturwerkstatt Auf AEG • Nürnberg
203,Co-Founder Match  Vol.9,Tue Nov 22 6:30 PM,https://www.eventbrite.de/e/co-founder-match-vol9-tickets-414703277667?aff=ebdssbdestsearch,German Entrepreneurship Center • München
204,Benefizkonzert mit Landespolizeiorchester Brandenburg,Fri Nov 18 7:00 PM,https://www.eventbrite.de/e/benefizkonzert-mit-landespolizeiorchester-brandenburg-tickets-445133314727?aff=ebdssbdestsearch,Katholische Pfarrkirche St. Peter und Paul • Potsdam
205,SUNDAY BRUNCH - Una domenica speciale in Piazza Gae Aulenti Milano,Sun Nov 13 11:00 AM,https://www.eventbrite.it/e/biglietti-sunday-brunch-una-domenica-speciale-in-piazza-gae-aulenti-milano-463479157637?aff=ebdssbdestsearch,illy Caffè • Milano
206,Goa Rituals w/ Major7,Tomorrow at 11:00 PM,https://www.eventbrite.de/e/goa-rituals-w-major7-tickets-443215007017?aff=ebdssbdestsearch,M-Bia • Berlin
207,metafinanz – Rebels at Work,Thu Nov 17 6:00 PM,https://www.eventbrite.de/e/metafinanz-rebels-at-work-tickets-443177324307?aff=ebdssbdestsearch,Business & IT Consulting | metafinanz GmbH • München
208,TvBoy: Roma Art Night,Tue Nov 22 6:30 PM,https://www.eventbrite.it/e/biglietti-tvboy-roma-art-night-461773556137?aff=ebdssbdestsearch,Via Giulia 122 • Roma
209,New York Comedy Club - Berlin: Main Show at Limited MF,Wed Nov 16 9:30 PM + 2 more events,https://www.eventbrite.com/e/new-york-comedy-club-berlin-main-show-at-limited-mf-tickets-407961001337?aff=ebdssbdestsearch,Limited MF • Berlin
210,SHABBY - Stand up Comedy im Mad Monkey Room (20:00 Uhr),Fri Nov 18 8:00 PM + 7 more events,https://www.eventbrite.de/e/shabby-stand-up-comedy-im-mad-monkey-room-2000-uhr-tickets-157761885045?aff=ebdssbdestsearch,Mad Monkey Room • Berlin
211,IL CORAGGIO DELLE DONNE - FARE IMPRESA OGGI,Tue Nov 15 4:30 PM,https://www.eventbrite.com/e/biglietti-il-coraggio-delle-donne-fare-impresa-oggi-448467778197?aff=ebdssbdestsearch,Biblioteca Europea • Roma
212,"""E quindi.....Inferno!"" 12 novembre",Tomorrow at 9:00 PM,https://www.eventbrite.it/e/biglietti-e-quindiinferno-12-novembre-438926399677?aff=ebdssbdestsearch,Teatro Marcello Mastroianni • San Martino Siccomario
213,OMEGA-Digital Art Exhibition,Today at 7:30 PM,https://www.eventbrite.co.uk/e/omega-digital-art-exhibition-tickets-461734188387?aff=ebdssbdestsearch,Praxitelous 26 • Athina
214,Los pájaros negros de 2020,Wed Nov 23 9:00 PM + 1 more event,https://www.eventbrite.it/e/biglietti-los-pajaros-negros-de-2020-452960325527?aff=ebdssbdestsearch,Spazio Teatro No'hma Teresa Pomodoro • Milano
215,"Female Networking Night ""Sichtbarkeit & Standing""",Fri Nov 18 7:00 PM,https://www.eventbrite.de/e/female-networking-night-sichtbarkeit-standing-tickets-386033796477?aff=ebdssbdestsearch,Akademischer Gesangverein München - Chor Orchester BigBand Theater • München
216,BeShort - Brand Entertainment Short Movie Summit,Thu Dec 1 10:00 AM,https://www.eventbrite.com/e/biglietti-beshort-brand-entertainment-short-movie-summit-450419024427?aff=ebdssbdestsearch,Anteo City Life • Milano
217,The Merage DeserTech Competition Finals,Tue Nov 22 6:00 PM,https://www.eventbrite.com/e/the-merage-desertech-competition-finals-tickets-417527404707?aff=ebdssbdestsearch,Carasso Science Park • Be'er Sheva South District
218,Gründerszene Spätschicht Berlin - Christmas Edition - 01.12.22,Thu Dec 1 7:00 PM,https://www.eventbrite.de/e/grunderszene-spatschicht-berlin-christmas-edition-011222-tickets-215575781967?aff=ebdssbdestsearch,Napoleon Komplex • Berlin
219,LA STORIA DEL JAZZ  suonata e raccontata da  PAOLO TOMELLERI e la sua BAND,Sun Nov 13 5:00 PM,https://www.eventbrite.it/e/biglietti-la-storia-del-jazz-suonata-e-raccontata-da-paolo-tomelleri-e-la-sua-band-410606544227?aff=ebdssbdestsearch,Teatro Bello • Milano
220,BENETTI HALF MARATHON LIVORNO 2022 - Apertura Faro di Livorno,Tomorrow at 10:00 AM + 7 more events,https://www.eventbrite.it/e/biglietti-benetti-half-marathon-livorno-2022-apertura-faro-di-livorno-445588947537?aff=ebdssbdestsearch,Via Edda Fagni 85 • Livorno
221,BeComedy a Roma,Sun Nov 27 8:00 PM,https://www.eventbrite.co.uk/e/biglietti-becomedy-a-roma-441589164077?aff=ebdssbdestsearch,SNODO • Roma
222,BOOST 14: The Future of Finance In a World of Uncertainty,Tue Nov 22 9:00 AM,https://www.eventbrite.com/e/boost-14-the-future-of-finance-in-a-world-of-uncertainty-tickets-449365643737?aff=ebdssbdestsearch,Designit Tel Aviv • Tel Aviv-Yafo Tel Aviv District
223,"Franz Schubert: As-Dur Messe/ Sinfonie Nr. 7 ""Unvollendete""",Tomorrow at 7:00 PM,https://www.eventbrite.de/e/franz-schubert-as-dur-messe-sinfonie-nr-7-unvollendete-tickets-443621211987?aff=ebdssbdestsearch,Emmaus-Kirche - Ev. Emmaus-Ölberg-Kirchengemeinde • Berlin
224,FuckUp Nights Leipzig Vol. 42,Thu Dec 1 8:00 PM,https://www.eventbrite.com/e/fuckup-nights-leipzig-vol-42-tickets-450799693017?aff=ebdssbdestsearch,WERK 2 Kulturfabrik • Leipzig
225,Il Bosco Vivo di Selvazzano,Sun Nov 13 11:15 AM + 1 more event,https://www.eventbrite.it/e/biglietti-il-bosco-vivo-di-selvazzano-450415423657?aff=ebdssbdestsearch,Parco via Veneto • Selvazzano Dentro
226,Mayhem live in Leipzig 2022,Thu Dec 15 8:00 PM,https://www.eventbrite.de/e/mayhem-live-in-leipzig-2022-tickets-86332876959?aff=ebdssbdestsearch,Haus Leipzig • Leipzig
227,Die Zero Waste Austria Konferenz zur Zukunft des Handels,Thu Nov 17 9:00 AM,https://www.eventbrite.at/e/die-zero-waste-austria-konferenz-zur-zukunft-des-handels-tickets-409900983877?aff=ebdssbdestsearch,Ottakringer Brauerei • Wien
228,TRIOGIPFEL E.T.A. 200 – „Wo die Sprache aufhört fängt die Musik an“,Sat Nov 19 6:00 PM,https://www.eventbrite.de/e/triogipfel-eta-200-wo-die-sprache-aufhort-fangt-die-musik-an-tickets-354471974217?aff=ebdssbdestsearch,Kühlhaus Berlin • Berlin
229,ROTE SONNE NYE & NYD WEEKENDER 2022/2023,Sat Dec 31 11:00 PM,https://www.eventbrite.de/e/rote-sonne-nye-nyd-weekender-20222023-tickets-451680607857?aff=ebdssbdestsearch,Rote Sonne • München
230,INVITATION: Estonian Ambassador to Israel + Wine Nov 15th 7pm,Tue Nov 15 7:00 PM,https://www.eventbrite.com/e/invitation-estonian-ambassador-to-israel-wine-nov-15th-7pm-tickets-464241568027?aff=ebdssbdestsearch,Rothschild 49 Art Gallery • Tel Aviv
231,TPK! Total Party Kon,Tomorrow at 10:00 AM,https://www.eventbrite.com/e/biglietti-tpk-total-party-kon-440802009677?aff=ebdssbdestsearch,La Casa dei Giochi • Milano
232,REMIRA MARKET 13 Novembre MILANO,Sun Nov 13 10:30 AM,https://www.eventbrite.it/e/registrazione-remira-market-13-novembre-milano-450564148497?aff=ebdssbdestsearch,Via Luigi Nono 9 • Milano
233,Headless • The Home of Alternative Rock • Lido Berlin,Sat Nov 19 11:59 PM,https://www.eventbrite.de/e/headless-the-home-of-alternative-rock-lido-berlin-tickets-429087330757?aff=ebdssbdestsearch,Lido • Berlin
234,X Convegno Nazionale SIAA - Verona 14-17 dicembre,,https://www.eventbrite.it/e/biglietti-x-convegno-nazionale-siaa-verona-14-17-dicembre-341185855077?aff=ebdssbdestsearch,Verona • Verona
235,LIVE MUSIC SHOW-55 MILANO GIOVEDI'/CC | Aperitivo/serata +393382724181,Thu Nov 17 7:30 PM,https://www.eventbrite.it/e/biglietti-live-music-show-55-milano-giovedicc-aperitivoserata-393382724181-120535658399?aff=ebdssbdestsearch,55 Milano • Milano
236,"יועמ""שים מדברים קריירה - ומקבלים טיפים חשובים עם משרד פישר",Wed Nov 23 9:00 AM,https://www.eventbrite.com/e/447143366847?aff=ebdssbdestsearch,עזריאלי טאון • תל אביב מחוז תל אביב
237,Round Tables - Influence the FemTech Ecosystem,Thu Nov 17 8:00 AM,https://www.eventbrite.com/e/round-tables-influence-the-femtech-ecosystem-tickets-460104052607?aff=ebdssbdestsearch,Google for Startups Campus • Tel Aviv-Yafo Tel Aviv District
238,Generation 16+,Fri Nov 18 7:00 PM,https://www.eventbrite.com/e/generation-16-tickets-445532598997?aff=ebdssbdestsearch,Backstage Kulturzentrum • München
239,Swing Social Club,Tomorrow at 9:30 PM,https://www.eventbrite.it/e/biglietti-swing-social-club-453801020067?aff=ebdssbdestsearch,Circolo Arci Mondini • Milano
240,AVUS TRIBÜNE OPENING  12.11.22,Tomorrow at 11:00 PM,https://www.eventbrite.de/e/avus-tribune-opening-121122-tickets-449658850727?aff=ebdssbdestsearch,Avus-Tribüne • Berlin
241,Venice Italians and the Ottoman Levant - 1st LHF meeting in Venice Italy,Thu Nov 24 9:00 AM,https://www.eventbrite.co.uk/e/venice-italians-and-the-ottoman-levant-1st-lhf-meeting-in-venice-italy-tickets-404665073127?aff=ebdssbdestsearch,Aula Mario Baratto • Venezia
242,Veszprém – Balaton 2023 Európa Kulturális Fővárosa és Likó Marcell koncert,Thu Nov 24 6:00 PM,https://www.eventbrite.com/e/veszprem-balaton-2023-europa-kulturalis-fovarosa-es-liko-marcell-koncert-tickets-439108805257?aff=ebdssbdestsearch,Európa Pont • Budapest
243,Guestlist Vienna Thursday Babenberger Passage,Thu Nov 17 11:00 PM + 97 more events,https://www.eventbrite.com/e/guestlist-vienna-thursday-babenberger-passage-tickets-459910102497?aff=ebdssbdestsearch,Babenberger Passage • Wien
244,Boat in the Jam,Fri Nov 25 6:00 PM,https://www.eventbrite.co.uk/e/boat-in-the-jam-tickets-445988071327?aff=ebdssbdestsearch,Red Tower • Łódź
245,Guerilla Slam - Berlins realster Slam in Kreuzberg,Sun Nov 13 7:30 PM,https://www.eventbrite.com/e/guerilla-slam-berlins-realster-slam-in-kreuzberg-tickets-442791871407?aff=ebdssbdestsearch,Monarch Bar • Berlin
246,Velvet Innovation Meetup - listopad,Thu Nov 24 5:00 PM,https://www.eventbrite.com/e/velvet-innovation-meetup-listopad-tickets-444026032817?aff=ebdssbdestsearch,Vysoké učení technické v Brně • Brno-střed
247,Gli investimenti sostenibili degli investitori previdenziali italiani,Thu Nov 17 3:00 PM,https://www.eventbrite.it/e/biglietti-gli-investimenti-sostenibili-degli-investitori-previdenziali-italiani-429107089857?aff=ebdssbdestsearch,Online e a Roma (Palazzo Falletti Salone del Trono) • Roma
248,Science Magic | in English & for Kids,Sun Nov 13 3:30 PM,https://www.eventbrite.de/e/science-magic-in-english-for-kids-tickets-444606488977?aff=ebdssbdestsearch,The Wall Comedy • Berlin
249,K-Ö New Music in Vienna,Sun Dec 11 7:30 PM,https://www.eventbrite.com/e/k-o-new-music-in-vienna-tickets-429576233077?aff=ebdssbdestsearch,빈 음악협회 • Wien
250,Licei Opera Sant'Alessandro / Open Day 2022 - 2023,Sat Dec 17 2:30 PM + 2 more events,https://www.eventbrite.it/e/registrazione-licei-opera-santalessandro-open-day-2022-2023-421338553957?aff=ebdssbdestsearch,Licei Opera Sant'Alessandro • Bergamo
251,PRATICA PRIMO SOCCORSO: TECNICHE DI RIANIMAZIONE E MANOVRA DI HEIMLICH,Sat Nov 26 9:00 AM,https://www.eventbrite.it/e/biglietti-pratica-primo-soccorso-tecniche-di-rianimazione-e-manovra-di-heimlich-453719586497?aff=ebdssbdestsearch,Via Giuseppe Garibaldi 10 • San Giorgio di Piano
252,Kannada Rajyotsava Celebration 2022,Tomorrow at 1:00 PM,https://www.eventbrite.com/e/kannada-rajyotsava-celebration-2022-tickets-445322691157?aff=ebdssbdestsearch,Hörsaal 6 - Otto-von-Guericke-Universität • Magdeburg
253,Matching Night Hamburg,Sat Dec 3 8:00 PM,https://www.eventbrite.de/e/matching-night-hamburg-tickets-427837773297?aff=ebdssbdestsearch,CASCADAS • Hamburg
254,10 anni di Startup Act,Wed Nov 23 12:30 PM,https://www.eventbrite.it/e/registrazione-10-anni-di-startup-act-441561732027?aff=ebdssbdestsearch,Auditorium Antonianum • Roma
255,Investment & Wine - Networking Event in Leipzig,Mon Nov 21 7:00 PM,https://www.eventbrite.com/e/investment-wine-networking-event-in-leipzig-tickets-438885918597?aff=ebdssbdestsearch,INNSIDE Leipzig • Leipzig
256,VinTage Weinmesse 2022,Sun Nov 13 12:00 PM,https://www.eventbrite.de/e/vintage-weinmesse-2022-tickets-417915585767?aff=ebdssbdestsearch,AXICA Kongress- und Tagungszentrum • Berlin
